Disciplina,Novo Aluno - Aprovado,Aluno Similar - Aprovado
Física Geral I - CPA1403,Sim,Sim
Física Experimental I - CPA1404,Sim,Sim
Cálculo I - CPA1405,Sim,Sim
Geometria Analítica - CPA1406,Sim,Sim
Algoritmos e Programação - CPA1407,Sim,Sim
Introdução à Engenharia de Computação - CPA1401,Sim,Sim
Metodologia Científica - CPA1402,Sim,Sim
Física Geral II - CPA1408,Sim,Sim
Física Experimental II - CPA1409,Sim,Sim
Cálculo II - CPA1410,Sim,Sim
Álgebra Linear - CPA1411,Sim,Sim
Química Tecnológica Geral - CPA1412,Sim,Sim
Química Tecnológica Geral Experimental - CPA1413,Sim,Sim
Lógica para Computação - CPA1414,Sim,Sim
Física Geral III - CPA1415,Sim,Sim
Física Experimental III - CPA1416,Sim,Sim
Cálculo III - CPA1417,Não cursou,Sim
Desenho Técnico - CPA1418,Não cursou,Sim
Probabilidade e Estatística - CPA1419,Não cursou,Sim
Mecânica dos Sólidos - CPA1420,Não cursou,Sim
Estrutura de Dados I - CPA1421,Sim,Sim
Cálculo Numérico - CPA1422,Não cursou,Sim
Fenômenos de Transporte - CPA1423,Não cursou,Não
Sistemas digitais - CPA1424,Sim,Sim
Sistemas Digitais Experimental - CPA1425,Sim,Sim
Circuitos Elétricos - CPA1427,Sim,Sim
Circuitos Elétricos Experimental - CPA1428,Não cursou,Não cursou
Estrutura de Dados II - CPA1426,Não cursou,Sim
Arquitetura e Organização de Computadores - CPA1429,Não cursou,Sim
Programação I - CPA1436,Não cursou,Sim
Microcontroladores - CPA1431,Sim,Sim
Microcontroladores Experimental - CPA1432,Sim,Não cursou
Banco de Dados - CPA1433,Sim,Sim
Eletrônica Básica - CPA1434,Sim,Sim
Eletrônica Básica Experimental - CPA1435,Sim,Sim
Matemática Discreta - CPA1430,Sim,Sim
Sistemas e Sinais - CPA1437,Não cursou,Sim
Programação II - CPA1438,Não cursou,Sim
"Legislação, Ética e Sociedade - CPA1439",Sim,Não cursou
Teoria da Computação - CPA1440,Sim,Sim
Gestão de Projetos - CPA1441,Sim,Não cursou
Sistemas Operacionais - CPA1442,Sim,Sim
Engenharia de software - CPA1443,Sim,Sim
Redes de Computadores I - CPA1444,Sim,Não cursou
Comunicação de dados - CPA1445,Sim,Não cursou
Conservação dos Recursos Naturais - CPA1446,Sim,Sim
Projeto Integrador I - CPA1447,Não cursou,Não cursou
Redes de Computadores II - CPA1448,Sim,Não cursou
Sistemas Inteligentes I - CPA1449,Sim,Sim
Segurança da Informação - CPA1450,Sim,Não cursou
Processamento Digital de Sinais - CPA1451,Não cursou,Sim
Sistemas Embarcados - CPA1452,Não cursou,Não cursou
Sistemas Inteligentes II - CPA1453,Sim,Não cursou
Segurança do Trabalho - CPA1454,Sim,Não cursou
Projeto Integrador II - CPA1455,Não cursou,Não cursou
Engenharia Econômica e Empreendedorismo - CPA1456,Sim,Sim
Sistemas distribuídos - CPA1457,Não cursou,Não cursou
Libras - CPA1460,Não cursou,Não cursou
Desenho Técnico Avançado - CPA1461,Não cursou,Não cursou
Fundamentos da Ciência dos Materiais - CPA1462,Não cursou,Não cursou
Organização Industrial - CPA1463,Sim,Não cursou
Contabilidade Gerencial e Custos - CPA1464,Não cursou,Não cursou
Eletrônica Industrial - CPA1465,Não cursou,Não cursou
Sistemas Integrados de Manufatura - CPA1466,Não cursou,Não cursou
Projeto de Fontes Chaveadas - CPA1467,Não cursou,Não cursou
Conservação de Energia - CPA1468,Não cursou,Não cursou
Interface Homem Computador - CPA1469,Não cursou,Não cursou
Programação Paralela e Distribuída - CPA1470,Não cursou,Não cursou
Introdução a Robótica Industrial - CPA1471,Não cursou,Não cursou
Orientação a Objetos - CPA1473,Sim,Sim
